SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-277,FALSE,IMP,10.03.,,0,SZTORNÓ!,,M20072,ESZTERGOMI SZERSZÁMGÉPGYÁR KFT.,MZP,"VM132X motor javítása - Átcsapágyazás, Reteszpálya szemközti oldalra átmarása, Motortengely felszórása és köszörülése",ÁA-t kérnek,,HA
SZÉV2023-278,TRUE,GYE,10.04.,,0,10.13.,2023/000000919,M14270,TSE MOLD KFT.,DECKEL DC-70V,Rexroth szelep,ÜF megoldja,,CsZ
SZÉV2023-279,TRUE,GYE,10.05.,,0,11.03.,,M20083,ROYAL PRODUCTION KFT.,EML-1020E,Főorsó 10.000RPM: 4db csapágy ,70BNR10STSUELP3-NSK,,CsZ
SZÉV2023-280,TRUE,GYE,10.06.,,1,10.13.,2023/000000921,M07364,HANTECH GÉPGYÁRTÓ ÉS FORGALMAZÓ ZRT.,TNL-100A-II,"10-00009263-00,Tartalék / TNL-120ALII / Szivattyú / PVF-30-55-10S",,,CsZ
SZÉV2023-281,TRUE,GYE,10.09.,,1,10.10.,BET2023/03366,M16070,NIVELCO ZRT.,Smart-42,4db 10-00004052-00 SPZ1700 szíj,,,CsZ
SZÉV2023-282,TRUE,GYE,10.12.,,1,10.13.,,M19050,CSABA METÁL ZRT. ,EmB-1305G,1 db FAG 6016 L062 0200 csapágy,,,HA
SZÉV2023-283,TRUE,GYE,10.13,,1,11.07.,,M19050,CSABA METÁL ZRT. ,EmB-1305G,5db főorsó csapágy: FAG 7020-C-T-P4S-UL,6.000 RPM ,,CsZ
SZÉV2023-284,TRUE,IMP,10.13.,,1,12.11.,,M17066,DENDRIT,KFO-620-5TT,1 db tár ajtó mozgató munkahenger AVS CTXSCA40*500Z,,,LR
SZÉV2023-285,TRUE,GYE,10.16.,,1,11.06.,,M11034,MECSOL BNT SRL ,TNL-100AHD,hajtottszerszám alaktérszek csatolt képek alapján,"[ 2024. március 21., csütörtök 10:17 ] ⁨NCT SZÉV Csizmadia Zoltán⁩: GyE bontott alkatrészekből kicserélte a  hibásnak vélt alkatrészeket és visszapostázta. Nem volt hozzá új csomag rendelve. Végül így szerelte vissza az ÜF.",,CsZ
SZÉV2023-286,TRUE,GYE,10.16.,,0,11.14,,M13138,MARKOVICS GYÖRGY,EmL-610B,"Y-tengely kuplung
d1=19  -  6 mm retesz horonnyal
d2= 25
D=55
L= kb. 76,5 mm
piros csillagal (GS24)",,,LR
SZÉV2023-287,TRUE,GYE,10.17.,,1,11.xx,BET2023/03656,M15248,HAJDU AUTOTECHNIKA IPARI ZRT.,EmR-1200D,2 db THK SRG 45 LR SS C0 BLOCK (Y-tengely bal oldal) lineáris kocsik,,beküldve,LR
